I_Gained,Inky_Novel,Inky_Fused,Clyde_Novel,Clyde_Fused,Pinky_Novel,Pinky_Fused,I_Fused,param_set,run
0.7056727103253355,0.7056727103253355,0.0,0.7056727103253355,0.0,0.7056727103253355,0.0,0.0,1,0
0.7557103063600512,0.7557103063600512,0.0,0.7557103063600512,0.0,0.7557103063600512,0.0,0.0,1,1
0.5593897327459351,0.5593897327459351,0.0,0.5593897327459351,0.0,0.5593897327459351,0.0,0.0,1,2
0.668377991443422,0.668377991443422,0.0,0.668377991443422,0.0,0.668377991443422,0.0,0.0,1,3
0.6048068495293555,0.6048068495293555,0.0,0.6048068495293555,0.0,0.6048068495293555,0.0,0.0,1,4
0.6904038697992545,0.6904038697992545,0.0,0.6904038697992545,0.0,0.6904038697992545,0.0,0.0,2,0
0.6944429430349831,0.6944429430349831,0.0,0.6944429430349831,0.0,0.6944429430349831,0.0,0.0,2,1
0.6804804208235092,0.6804804208235092,0.0,0.6804804208235092,0.0,0.6804804208235092,0.0,0.0,2,2
0.6678167486916404,0.6678167486916404,0.0,0.6678167486916404,0.0,0.6678167486916404,0.0,0.0,2,3
0.6859323026465008,0.6859323026465008,0.0,0.6859323026465008,0.0,0.6859323026465008,0.0,0.0,2,4
0.6604229708352168,0.6604229708352168,0.0,0.6604229708352168,0.0,0.6604229708352168,0.0,0.0,3,0
0.679168580503882,0.679168580503882,0.0,0.679168580503882,0.0,0.679168580503882,0.0,0.0,3,1
0.7325624752228089,0.7325624752228089,0.0,0.7325624752228089,0.0,0.7325624752228089,0.0,0.0,3,2
0.7258209914983104,0.7258209914983104,0.0,0.7258209914983104,0.0,0.7258209914983104,0.0,0.0,3,3
0.665565710757099,0.665565710757099,0.0,0.665565710757099,0.0,0.665565710757099,0.0,0.0,3,4
0.4935448866431566,0.4935448866431566,0.0,0.4935448866431566,0.0,0.1666128184804222,0.3269320681627344,0.3269320681627344,4,0
0.6736750515385345,0.6736750515385345,0.0,0.6736750515385345,0.0,0.6736750515385345,0.0,0.0,4,1
0.7015619870366542,0.7015619870366542,0.0,0.7015619870366542,0.0,0.7015619870366542,0.0,0.0,4,2
0.6546789325534047,0.6546789325534047,0.0,0.6546789325534047,0.0,0.6546789325534047,0.0,0.0,4,3
0.4851538354276604,0.4851538354276604,0.0,0.4851538354276604,0.0,0.25249820819677204,0.23265562723088834,0.23265562723088834,4,4
0.4216209674636465,0.2238285531725933,0.19779241429105324,0.4216209674636465,0.0,0.22382855318267253,0.197792414280974,0.39558482857202726,5,0
0.4387527513283279,0.28223125832500956,0.15652149300331836,0.4387527513283279,0.0,0.282231264376456,0.1565214869518719,0.31304297995519026,5,1
0.4486165154347488,0.4486165154347488,0.0,0.30581969150331556,0.14279682393143323,0.3058197000261623,0.14279681540858646,0.2855936393400197,5,2
0.3899452238941741,0.3899452238941741,0.0,0.28572487006741154,0.10422035382676254,0.28572488155494685,0.10422034233922722,0.20844069616598976,5,3
0.32567266955618623,0.16073062130513818,0.16494204825104805,0.32567266955618623,0.0,0.1607306219287743,0.16494204762741194,0.32988409587846,5,4
0.1874917902367704,0.16461660159352665,0.022875188643243755,0.16461744818280044,0.02287434205396996,0.16461744732690492,0.02287434290986548,0.0686238736070792,6,0
0.20834996587030316,0.18722166815002414,0.02112829772027902,0.18721463686223985,0.02113532900806331,0.18721463687351428,0.021135328996788882,0.06339895572513121,6,1
0.23812974724100314,0.20186077968970031,0.03626896755130282,0.23812974724100314,0.0,0.20187798438161283,0.0362517628593903,0.07252073041069312,6,2
0.21249684206779418,0.17544950980277968,0.0370473322650145,0.17544950806745838,0.0370473340003358,0.1754495081248591,0.03704733394293508,0.11114200020828538,6,3
0.12256534674614346,0.08004787717241844,0.042517469573725014,0.0800478774541925,0.04251746929195095,0.08004787719765227,0.042517469548491185,0.12755240841416715,6,4
0.6167969594855721,0.6167969594855721,0.0,0.6167969594855721,0.0,0.6167969594855721,0.0,0.0,1,0
0.69006677133683,0.69006677133683,0.0,0.69006677133683,0.0,0.69006677133683,0.0,0.0,1,1
0.6082438791318139,0.6082438791318139,0.0,0.6082438791318139,0.0,0.6082438791318139,0.0,0.0,1,2
0.7282987294551688,0.7282987294551688,0.0,0.7282987294551688,0.0,0.7282987294551688,0.0,0.0,1,3
0.621728688279196,0.621728688279196,0.0,0.621728688279196,0.0,0.621728688279196,0.0,0.0,1,4
0.6322922855003891,0.6322922855003891,0.0,0.6322922855003891,0.0,0.6322922855003891,0.0,0.0,1,5
0.6863477737579268,0.6863477737579268,0.0,0.6863477737579268,0.0,0.6863477737579268,0.0,0.0,1,6
0.5467584668699751,0.5467584668699751,0.0,0.5467584668699751,0.0,0.5467584668699751,0.0,0.0,1,7
0.6792608334611351,0.6792608334611351,0.0,0.6792608334611351,0.0,0.6792608334611351,0.0,0.0,1,8
0.7196179706537943,0.7196179706537943,0.0,0.7196179706537943,0.0,0.7196179706537943,0.0,0.0,1,9
0.5925136337501635,0.5925136337501635,0.0,0.5925136337501635,0.0,0.5925136337501635,0.0,0.0,2,0
0.6491580116452359,0.6491580116452359,0.0,0.6491580116452359,0.0,0.6491580116452359,0.0,0.0,2,1
0.591104101843619,0.591104101843619,0.0,0.591104101843619,0.0,0.591104101843619,0.0,0.0,2,2
0.7255545084386895,0.7255545084386895,0.0,0.7255545084386895,0.0,0.7255545084386895,0.0,0.0,2,3
0.5522722791788552,0.5522722791788552,0.0,0.5522722791788552,0.0,0.5522722791788552,0.0,0.0,2,4
