I_Gained,Inky_Novel,Inky_Fused,Clyde_Novel,Clyde_Fused,Pinky_Novel,Pinky_Fused,I_Fused,param_set,run
0.02902603810214131,0.02112911304375708,0.00789692505838423,0.021127022021173367,0.007899016080967942,0.02112698871241828,0.00789904938972303,0.023694990529075203,1,0
0.019277107728039908,0.013643261508642483,0.005633846219397425,0.01353951458350938,0.005737593144530527,0.013539391444174426,0.005737716283865482,0.017109155647793434,1,1
0.011664536325189167,0.006158267741829332,0.005506268583359835,0.006157972933670675,0.005506563391518492,0.006142125929541646,0.005522410395647521,0.016535242370525848,1,2
0.05668528180963709,0.05219179329133383,0.004493488518303258,0.0426594350719153,0.014025846737721788,0.04264957534264593,0.014035706466991163,0.03255504172301621,1,3
0.041473709723919214,0.03446310475022745,0.007010604973691763,0.03422210915070266,0.0072516005732165545,0.034210054023600826,0.007263655700318387,0.021525861247226705,1,4
0.01735836899025019,0.013142687978789324,0.004215681011460866,0.012828129363940434,0.004530239626309756,0.012827743222144066,0.004530625768106124,0.013276546405876746,1,5
0.011763355154475543,0.00725160828238373,0.004511746872091813,0.0011572150697114216,0.010606140084764121,0.001156376163970494,0.010606978990505049,0.025724865947360984,1,6
0.011241616119794335,0.007510261008207528,0.003731355111586807,0.0003271745260528308,0.010914441593741504,0.0003269322852275771,0.010914683834566757,0.02556048053989507,1,7
0.02721032037929681,0.021731861369397764,0.005478459009899045,0.02160935290208645,0.00560096747721036,0.02160798445013868,0.005602335929158129,0.016681762416267534,1,8
0.028568859862548143,0.02420739220730462,0.0043614676552435235,0.02290824050200522,0.005660619360542924,0.022895708314814127,0.005673151547734016,0.015695238563520463,1,9
0.01696707875573433,0.013275478909295941,0.0036915998464383884,0.01326209550249981,0.0037049832532345187,0.013259340671586097,0.003707738084148232,0.01110432118382114,1,10
0.017436336457170302,0.013230684119746193,0.0042056523374241084,0.013223824681209076,0.004212511775961226,0.01322363465898638,0.004212701798183921,0.012630865911569256,1,11
0.018144538884270728,0.012139378653110442,0.006005160231160286,0.012046020428658577,0.006098518455612151,0.012028799315961139,0.006115739568309589,0.018219418255082026,1,12
0.03795464661573571,0.0342237315965194,0.0037309150192163104,0.034200291658534616,0.0037543549572010906,0.03420000952267142,0.0037546370930642836,0.011239907069481685,1,13
0.014006532994260506,0.006614982354228374,0.007391550640032132,0.0063957475142789435,0.007610785479981562,0.006395672933153555,0.007610860061106951,0.022613196181120645,1,14
0.008316948071158774,0.0008424065909237793,0.007474541480234995,0.0007942030098110633,0.007522745061347711,0.0007883203448537635,0.0075286277263050105,0.022525914267887717,1,15
0.02940190388340395,0.021201937777019536,0.008199966106384415,0.021169212677277883,0.008232691206126068,0.021168618263771897,0.008233285619632054,0.024665942932142536,1,16
0.03197591260393135,0.028278118571072423,0.003697794032858928,0.028277821783513256,0.0036980908204180957,0.028275671249500426,0.0037002413544309255,0.01109612620770795,1,17
0.03411264100321752,0.028417546338942654,0.005695094664274869,0.02841309417473896,0.005699546828478563,0.028409931740844475,0.005702709262373047,0.01709735075512648,1,18
0.052790329821702946,0.02383663710854233,0.028953692713160617,0.023836469147275663,0.028953860674427283,0.023813595411510347,0.0289767344101926,0.0868842877977805,1,19
