I_Gained,Inky_Novel,Inky_Fused,Clyde_Novel,Clyde_Fused,Pinky_Novel,Pinky_Fused,I_Fused,param_set,run
0.5046050410725397,0.5046050410725397,0.0,0.5046050410725397,0.0,0.009553999760939456,0.4950510413116002,0.4950510413116002,1,0
0.6168445427249253,0.6168445427249253,0.0,0.6168445427249253,0.0,0.03132108214357173,0.5855234605813535,0.5855234605813535,1,1
0.6527820815546028,0.6527820815546028,0.0,0.31539524020327175,0.33738684135133107,0.08788002343755244,0.5649020581170504,0.9022888994683815,1,2
0.670050468011546,0.670050468011546,0.0,0.670050468011546,0.0,0.07426436879603066,0.5957860992155153,0.5957860992155153,1,3
0.6633326291498467,0.6633326291498467,0.0,0.6633326291498467,0.0,0.021657870485063218,0.6416747586647835,0.6416747586647835,1,4
0.6514068644806229,0.16484259629389378,0.48656426818672915,0.6514068644806229,0.0,0.042844301232684956,0.6085625632479379,1.095126831434667,1,5
0.6598199607838862,0.6598199607838862,0.0,0.6598199607838862,0.0,0.06774205796824907,0.5920779028156371,0.5920779028156371,1,6
0.6432401699436824,0.6432401699436824,0.0,0.6432401699436824,0.0,0.030150652169628946,0.6130895177740534,0.6130895177740534,1,7
0.6373191490193335,0.6373191490193335,0.0,0.6373191490193335,0.0,0.08151169505347942,0.5558074539658541,0.5558074539658541,1,8
0.5528413221502777,0.5528413221502777,0.0,0.3102782417055708,0.24256308044470692,0.03823912449550618,0.5146021976547716,0.7571652780994784,1,9
0.6797550590599234,0.6797550590599234,0.0,0.6797550590599234,0.0,0.022642893511323106,0.6571121655486003,0.6571121655486003,2,0
0.6131209818622271,0.2507989640385617,0.36232201782366535,0.5886577998309835,0.024463182031243536,0.01724395852982832,0.5958770233323988,0.9826622231873077,2,1
0.6866218015846313,0.6866218015846313,0.0,0.4173544466947179,0.2692673548899134,0.017056814480146947,0.6695649871044843,0.9388323419943977,2,2
0.6033788530237048,0.6033788530237048,0.0,0.6033788530237048,0.0,0.04261230780737916,0.5607665452163256,0.5607665452163256,2,3
0.6449407325960903,0.6449407325960903,0.0,0.17852843830927645,0.46641229428681386,0.09052962765252645,0.5544111049435638,1.0208233992303777,2,4
0.6109169155002729,0.6109169155002729,0.0,0.6109169155002729,0.0,0.06879900597339704,0.5421179095268759,0.5421179095268759,2,5
0.5909476642819391,0.31121327788339354,0.2797343863985456,0.15919713391617807,0.43175053036576105,0.01654027425081819,0.574407390031121,1.2858923067954278,2,6
0.5403769112822838,0.5403769112822838,0.0,0.5403769112822838,0.0,0.06640806606887532,0.4739688452134085,0.4739688452134085,2,7
0.5500141614099224,0.5202516760132736,0.02976248539664883,0.5500141614099224,0.0,0.14894375924259132,0.40107040216733114,0.43083288756397997,2,8
0.6665612266973666,0.6665612266973666,0.0,0.6665612266973666,0.0,0.06984579098960135,0.5967154357077653,0.5967154357077653,2,9
0.564644474887938,0.2567844549674556,0.3078600199204824,0.564644474887938,0.0,0.04443032503171433,0.5202141498562237,0.8280741697767061,3,0
0.4225615576705602,0.3928345078767161,0.029727049793844107,0.4225615576705602,0.0,0.11246386665270644,0.3100976910178538,0.3398247408116979,3,1
0.5904914772418332,0.5904914772418332,0.0,0.5904914772418332,0.0,0.03809105202858012,0.552400425213253,0.552400425213253,3,2
0.5934160326664354,0.5934160326664354,0.0,0.5934160326664354,0.0,0.10052050787075031,0.4928955247956851,0.4928955247956851,3,3
0.6000349667807764,0.6000349667807764,0.0,0.5648396894601198,0.03519527732065664,0.10763099475255167,0.4924039720282247,0.5275992493488814,3,4
0.5531264611130129,0.2452534297011929,0.30787303141182,0.5531264611130129,0.0,0.036567796806620194,0.5165586643063927,0.8244316957182127,3,5
0.48631760938295654,0.3457777436118956,0.14053986577106092,0.4711801342920682,0.015137475090888364,0.05859848009971062,0.4277191292832459,0.5833964701451952,3,6
0.6044991991513561,0.6044991991513561,0.0,0.2827277041338606,0.32177149501749547,0.061311875808906076,0.54318732334245,0.8649588183599455,3,7
0.7188417838836473,0.7188417838836473,0.0,0.5311991359660139,0.1876426479176334,0.028163690550600206,0.6906780933330471,0.8783207412506805,3,8
0.623139443048844,0.623139443048844,0.0,0.623139443048844,0.0,0.048483425140673365,0.5746560179081707,0.5746560179081707,3,9
0.6110716337514266,0.22652851923015788,0.3845431145212687,0.6110716337514266,0.0,0.05036295744566421,0.5607086763057624,0.945251790827031,4,0
0.584588898173068,0.43281163444054055,0.15177726373252748,0.584588898173068,0.0,0.04424528633875725,0.5403436118343108,0.6921208755668382,4,1
0.6254318550995013,0.33557064975797485,0.28986120534152643,0.6254318550995013,0.0,0.016331001444791486,0.6091008536547098,0.8989620589962362,4,2
0.5335128498610233,0.2874801815761929,0.24603266828483045,0.10523974151795086,0.4282731083430725,0.02618273086882815,0.5073301189921952,1.181635895620098,4,3
0.6730939551627689,0.6730939551627689,0.0,0.3442323654520016,0.32886158971076734,0.04695117835875239,0.6261427768040165,0.9550043665147838,4,4
0.6586599634893114,0.6586599634893114,0.0,0.32014291149998664,0.3385170519893248,0.04166577341539439,0.6169941900739171,0.9555112420632419,4,5
0.5695922271935475,0.5695922271935475,0.0,0.2973533123883132,0.2722389148052343,0.015314332787016884,0.5542778944065306,0.826516809211765,4,6
0.5716138555500613,0.2233419679118751,0.3482718876381862,0.3806725976444812,0.1909412579055801,0.03746900362652607,0.5341448519235352,1.0733579974673015,4,7
0.6068058652301067,0.25716984652508024,0.3496360187050265,0.39467084916433787,0.21213501606576884,0.04543216946169924,0.5613736957684075,1.1231447305392028,4,8
