I_Gained,Inky_Novel,Inky_Fused,Clyde_Novel,Clyde_Fused,I_Fused,param_set,run
0.3942264187171905,0.3942264187171905,0.0,0.3942264187171905,0.0,0.0,1,0
0.4148605959298287,0.4148605959298287,0.0,0.4148605959298287,0.0,0.0,1,1
0.25454647411266756,0.25454647411266756,0.0,0.25454647411266756,0.0,0.0,1,2
0.29390513871683455,0.29390513871683455,0.0,0.29390513871683455,0.0,0.0,1,3
0.29952450543822773,0.29952450543822773,0.0,0.29952450543822773,0.0,0.0,1,4
0.3686130745329801,0.3686130745329801,0.0,0.3686130745329801,0.0,0.0,1,5
0.21732933521367728,0.21732933521367728,0.0,0.11879675705548412,0.09853257815819316,0.09853257815819316,1,6
0.24290095511457643,0.0952104222307515,0.14769053288382494,0.24290095511457643,0.0,0.14769053288382494,1,7
0.4156957848710303,0.4156957848710303,0.0,0.4156957848710303,0.0,0.0,1,8
0.3287802281863924,0.3287802281863924,0.0,0.3287802281863924,0.0,0.0,1,9
0.2344266272920504,0.2344266272920504,0.0,0.11570420795167329,0.11872241934037712,0.11872241934037712,2,0
0.45560423194275596,0.45560423194275596,0.0,0.45560423194275596,0.0,0.0,2,1
0.3023146201922903,0.3023146201922903,0.0,0.3023146201922903,0.0,0.0,2,2
0.251613517033694,0.251613517033694,0.0,0.251613517033694,0.0,0.0,2,3
0.4081526196088159,0.4081526196088159,0.0,0.4081526196088159,0.0,0.0,2,4
0.32963444032570965,0.17786236599002964,0.15177207433568002,0.32963444032570965,0.0,0.15177207433568002,2,5
0.3769812088625912,0.3769812088625912,0.0,0.3769812088625912,0.0,0.0,2,6
0.2914150948341211,0.2914150948341211,0.0,0.2914150948341211,0.0,0.0,2,7
0.2942495545732948,0.1379273920647062,0.15632216250858863,0.2942495545732948,0.0,0.15632216250858863,2,8
0.33885121865149115,0.21484967743587863,0.12400154121561252,0.33885121865149115,0.0,0.12400154121561252,2,9
0.35733653116102215,0.35733653116102215,0.0,0.35733653116102215,0.0,0.0,3,0
0.3012826444248586,0.3012826444248586,0.0,0.3012826444248586,0.0,0.0,3,1
0.2776856948393283,0.2776856948393283,0.0,0.2776856948393283,0.0,0.0,3,2
0.28335906025584345,0.28335906025584345,0.0,0.28335906025584345,0.0,0.0,3,3
0.3682949209816693,0.3682949209816693,0.0,0.3682949209816693,0.0,0.0,3,4
0.22815582151383337,0.0757530858957293,0.15240273561810408,0.07575308591985475,0.15240273559397863,0.3048054712120827,3,5
0.42229581201069416,0.42229581201069416,0.0,0.42229581201069416,0.0,0.0,3,6
0.24865805785689257,0.20449504121476084,0.044163016642131736,0.24865805785689257,0.0,0.044163016642131736,3,7
0.20158029885573014,0.1253216577813875,0.07625864107434263,0.1253216578046556,0.07625864105107455,0.15251728212541718,3,8
0.31550138538999806,0.31550138538999806,0.0,0.31550138538999806,0.0,0.0,3,9
0.22165471750702914,0.12460205574703559,0.09705266175999355,0.22165471750702914,0.0,0.09705266175999355,4,0
0.16957333348647732,0.05237577363581498,0.11719755985066235,0.16957333348647732,0.0,0.11719755985066235,4,1
0.4612054023251177,0.4612054023251177,0.0,0.4612054023251177,0.0,0.0,4,2
0.16827177846387587,0.051339755514861,0.11693202294901486,0.16827177846387587,0.0,0.11693202294901486,4,3
0.20362507373438288,0.20362507373438288,0.0,0.09858732195234034,0.10503775178204254,0.10503775178204254,4,4
0.2628864039125899,0.08493070705646086,0.17795569685612903,0.2628864039125899,0.0,0.17795569685612903,4,5
0.1861317261785202,0.013398950068395688,0.1727327761101245,0.013398950068498451,0.17273277611002175,0.34546555222014624,4,6
0.4369610250135014,0.4369610250135014,0.0,0.4369610250135014,0.0,0.0,4,7
0.17805075132670467,0.05426250905990529,0.12378824226679938,0.05426250906648232,0.12378824226022235,0.24757648452702175,4,8
0.18065362851009806,0.0014964957220657792,0.17915713278803228,0.0014964957822207006,0.17915713272787737,0.3583142655159096,4,9
0.17453924604348617,0.09660758702997345,0.07793165901351272,0.09660758755879144,0.07793165848469473,0.15586331749820745,5,0
0.16013086512327968,0.16013086512327968,0.0,0.0017195873200052374,0.15841127780327444,0.15841127780327444,5,1
0.12002122038607359,0.12002122038607359,0.0,0.015950209040744043,0.10407101134532955,0.10407101134532955,5,2
0.22533935152748336,0.0542256463248091,0.17111370520267427,0.05422564748503379,0.17111370404244958,0.34222740924512385,5,3
0.17395407365756668,0.02029612412507124,0.15365794953249545,0.020296124192476544,0.15365794946509015,0.3073158989975856,5,4
0.2908873845590851,0.14567516094308805,0.14521222361599703,0.2908873845590851,0.0,0.14521222361599703,5,5
0.23032343695924212,0.04795843256347575,0.18236500439576636,0.23032343695924212,0.0,0.18236500439576636,5,6
