I_Gained,Inky_Novel,Inky_Fused,I_Fused,param_set,run
0.21872150420018718,0.21872150420018718,0.0,0.0,1,0
0.2593904219586366,0.2593904219586366,0.0,0.0,1,1
0.2756073915510427,0.2756073915510427,0.0,0.0,1,2
0.25304358585337794,0.25304358585337794,0.0,0.0,1,3
0.41621591918662176,0.41621591918662176,0.0,0.0,1,4
0.23850768973290642,0.07770100647037825,0.16080668326252817,0.16080668326252817,1,5
0.39180017041697734,0.39180017041697734,0.0,0.0,1,6
0.25560350996123066,0.25560350996123066,0.0,0.0,1,7
0.2637280675683643,0.16234312842614212,0.10138493914222219,0.10138493914222219,1,8
0.32052014510626625,0.32052014510626625,0.0,0.0,1,9
0.17749179985091615,0.02647372125483371,0.15101807859608243,0.15101807859608243,2,0
0.18485399683351142,0.18485399683351142,0.0,0.0,2,1
0.4038584522491488,0.4038584522491488,0.0,0.0,2,2
0.40081304041833965,0.40081304041833965,0.0,0.0,2,3
0.1862600604586236,0.06157680948460925,0.12468325097401434,0.12468325097401434,2,4
0.28697887483024537,0.28697887483024537,0.0,0.0,2,5
0.13159776417141755,0.007702168896743208,0.12389559527467435,0.12389559527467435,2,6
0.15852103973143516,0.15852103973143516,0.0,0.0,2,7
0.32702822443020485,0.32702822443020485,0.0,0.0,2,8
0.15427450493552766,0.15427450493552766,0.0,0.0,2,9
0.14234676486005948,0.07478134382739185,0.06756542103266763,0.06756542103266763,3,0
0.2344862268647085,0.2344862268647085,0.0,0.0,3,1
0.17796561034846192,0.007761481876935725,0.1702041284715262,0.1702041284715262,3,2
0.19014702524008534,0.08646870556816565,0.10367831967191969,0.10367831967191969,3,3
0.30837659015036606,0.30837659015036606,0.0,0.0,3,4
0.2549607641939232,0.1691404600548099,0.08582030413911332,0.08582030413911332,3,5
0.31714466901797017,0.31714466901797017,0.0,0.0,3,6
0.36169535914624934,0.2137703154944053,0.14792504365184403,0.14792504365184403,3,7
0.18460697861080266,0.0036393602004982603,0.1809676184103044,0.1809676184103044,3,8
0.16738896227517502,0.08713543294337327,0.08025352933180176,0.08025352933180176,3,9
0.14458209610298645,0.019849093098183983,0.12473300300480246,0.12473300300480246,4,0
0.09672277687992036,0.008582234627856263,0.0881405422520641,0.0881405422520641,4,1
0.17838169082743416,0.07557126627751287,0.10281042454992129,0.10281042454992129,4,2
0.3813267026270111,0.2018042059456019,0.17952249668140924,0.17952249668140924,4,3
0.16682773500252399,0.005052298677965723,0.16177543632455826,0.16177543632455826,4,4
0.1488560967786551,0.07279181555037553,0.07606428122827957,0.07606428122827957,4,5
0.13255067851461388,0.005405148473617176,0.1271455300409967,0.1271455300409967,4,6
0.24494264831398785,0.14067272931923636,0.10426991899475149,0.10426991899475149,4,7
0.19603990675558874,0.09059464606468948,0.10544526069089927,0.10544526069089927,4,8
0.23600160688449257,0.11167256271351507,0.1243290441709775,0.1243290441709775,4,9
0.07600290791140922,0.0743042317137567,0.0016986761976525155,0.0016986761976525155,5,0
0.11322628937848132,0.09456318101753158,0.01866310836094974,0.01866310836094974,5,1
0.024209346511410608,1.3626573040714264e-05,0.024195719938369893,0.024195719938369893,5,2
0.07645618985585188,0.013937782031618004,0.06251840782423387,0.06251840782423387,5,3
0.025908862444316068,0.0009722356626641988,0.024936626781651868,0.024936626781651868,5,4
0.2057627613284911,0.20148653103677602,0.0042762302917150885,0.0042762302917150885,5,5
0.218563276503707,0.21192832193328948,0.006634954570417517,0.006634954570417517,5,6
0.20556680296093657,0.2039966202963238,0.0015701826646127848,0.0015701826646127848,5,7
0.0757600305125934,0.0678137939629278,0.0079462365496656,0.0079462365496656,5,8
0.1291193639020512,0.122932665188465,0.0061866987135861945,0.0061866987135861945,5,9
