I_Gained,Inky_Novel,Inky_Fused,Clyde_Novel,Clyde_Fused,I_Fused,param_set,run
0.2662704906222643,0.08485595260806467,0.18141453801419966,0.2662704906222643,0.0,0.18141453801419966,1,0
0.12129421053083655,3.0649807552636955e-05,0.12126356072328391,3.064982803453694e-05,0.12126356070280202,0.24252712142608593,1,1
0.06961209736282287,0.06961209736282287,0.0,0.000460258155087276,0.06915183920773559,0.06915183920773559,1,2
0.17234361700616652,0.026455801007281197,0.1458878159988853,0.17234361700616652,0.0,0.1458878159988853,1,3
0.15437397777692444,0.018950449148402295,0.13542352862852214,0.15437397777692444,0.0,0.13542352862852214,1,4
0.13481351537118968,0.016017689126234653,0.11879582624495504,0.13481351537118968,0.0,0.11879582624495504,1,5
0.11984936603242613,0.0014353444210522498,0.11841402161137388,0.11984936603242613,0.0,0.11841402161137388,1,6
0.1226957405968681,0.061538099870058836,0.06115764072680926,0.0615380998579061,0.061157640738961995,0.12231528146577125,1,7
0.1411252010208486,0.02562602058228355,0.11549918043856505,0.1411252010208486,0.0,0.11549918043856505,1,8
0.12313147132751746,0.12313147132751746,0.0,0.0009934956526383046,0.12213797567487916,0.12213797567487916,1,9
0.16418988517123645,0.16418988517123645,0.0,0.07574765362721206,0.08844223154402439,0.08844223154402439,2,0
0.0976885460201224,0.0004604722452971967,0.0972280737748252,0.000460472241186993,0.09722807377893541,0.19445614755376062,2,1
0.13420479918859765,0.0009683594636317184,0.13323643972496593,0.0009683595310305117,0.13323643965756715,0.26647287938253306,2,2
0.22701431962103336,0.22701431962103336,0.0,0.05125251541590277,0.1757618042051306,0.1757618042051306,2,3
0.16950896139103505,0.013345213152085497,0.15616374823894955,0.013345213153808828,0.15616374823722623,0.31232749647617575,2,4
0.41966146399989257,0.34874121180921036,0.07092025219068221,0.41966146399989257,0.0,0.07092025219068221,2,5
0.24377965051085906,0.08721703784193324,0.15656261266892582,0.24377965051085906,0.0,0.15656261266892582,2,6
0.2686410220893055,0.2686410220893055,0.0,0.2686410220893055,0.0,0.0,2,7
0.2427939103418951,0.06257815083062102,0.18021575951127408,0.2427939103418951,0.0,0.18021575951127408,2,8
0.28972951865746505,0.28972951865746505,0.0,0.1790492851158375,0.11068023354162754,0.11068023354162754,2,9
0.345185355401231,0.17106438190735845,0.17412097349387257,0.345185355401231,0.0,0.17412097349387257,3,0
0.13027364856031984,0.005911313564581962,0.12436233499573787,0.13027364856031984,0.0,0.12436233499573787,3,1
0.09504072962870522,0.02827596391483215,0.06676476571387308,0.028275963116942214,0.066764766511763,0.13352953222563607,3,2
0.24027986092361664,0.1219832543445926,0.11829660657902404,0.24027986092361664,0.0,0.11829660657902404,3,3
0.14538364789934263,0.07399852208477044,0.0713851258145722,0.07399852325845244,0.0713851246408902,0.14277025045546238,3,4
0.1634268543600974,0.09721866316019162,0.06620819119990579,0.1634268543600974,0.0,0.06620819119990579,3,5
0.10083288684939892,0.10083288684939892,0.0,0.008914158456104172,0.09191872839329475,0.09191872839329475,3,6
0.1952299299936032,0.0023074182531616578,0.19292251174044153,0.002307418046939934,0.19292251194666327,0.3858450236871048,3,7
0.1854453246626809,0.0105848385988151,0.1748604860638658,0.1854453246626809,0.0,0.1748604860638658,3,8
0.1986388632298034,0.11964331777280533,0.07899554545699806,0.11964331777708621,0.07899554545271718,0.15799109090971525,3,9
0.1502580287539196,0.01598596086277683,0.13427206789114277,0.01598596092307329,0.13427206783084633,0.2685441357219891,4,0
0.19378200651978103,0.19378200651978103,0.0,0.057748652065430575,0.13603335445435044,0.13603335445435044,4,1
0.21469383586286733,0.17824598646915163,0.0364478493937157,0.1782459858100564,0.036447850052810926,0.07289569944652663,4,2
0.13995586156397594,0.020399592348341267,0.11955626921563467,0.13995586156397594,0.0,0.11955626921563467,4,3
0.12252373384580842,0.0004799191643092154,0.1220438146814992,0.0004799191933988013,0.12204381465240961,0.24408762933390882,4,4
0.2740418411042313,0.2740418411042313,0.0,0.2740418411042313,0.0,0.0,4,5
0.16238861492980733,0.07816327746841532,0.084225337461392,0.07816327811644236,0.08422533681336497,0.16845067427475696,4,6
0.2642091397871023,0.2642091397871023,0.0,0.21834415676059682,0.04586498302650549,0.04586498302650549,4,7
0.09706210351890848,0.02843313881277776,0.06862896470613072,0.02843313880787928,0.0686289647110292,0.13725792941715992,4,8
0.24475979030828426,0.24475979030828426,0.0,0.09832842671285706,0.1464313635954272,0.1464313635954272,4,9
0.12860510228512023,0.006331748638782212,0.12227335364633803,0.00633174771853657,0.12227335456658366,0.24454670821292168,5,0
0.13574867636856322,0.008447600573514867,0.12730107579504835,0.008447649670666257,0.12730102669789697,0.25460210249294535,5,1
0.4127659883434457,0.4127659883434457,0.0,0.4127659883434457,0.0,0.0,5,2
0.14388780105351967,0.039153484326227554,0.10473431672729211,0.03915339687200265,0.10473440418151703,0.20946872090880914,5,3
0.1259843685972103,0.1259843685972103,0.0,0.003935295356080411,0.12204907324112989,0.12204907324112989,5,4
0.12166939949995975,0.00047165426289624824,0.1211977452370635,0.12166939949995975,0.0,0.1211977452370635,5,5
0.2176006914220804,0.16223677081387447,0.05536392060820594,0.2176006914220804,0.0,0.05536392060820594,5,6
0.16234267063639354,0.052952591611400424,0.10939007902499312,0.05295259160485111,0.10939007903154244,0.21878015805653556,5,7
0.3039117165451113,0.14812693678002173,0.15578477976508956,0.3039117165451113,0.0,0.15578477976508956,5,8
0.33084878379182064,0.33084878379182064,0.0,0.33084878379182064,0.0,0.0,5,9
